Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Education Index
Noida,126.2,122.7,44.8,67.5,21.9,6.5,44.4,91.5,58.9,85
Jordan,125,52.6,60,65.2,37.2,7,39.4,77.1,89,0.7
Georgia,124.9,40.8,73.7,55.6,30.4,12.7,38.4,67.8,88.5,0.75
Serbia,124.8,59.1,62.8,52.1,35.9,16,30.7,65.8,83.2,0.75
Ahmedabad,124.8,65.7,68.3,67.7,21,9.4,38.6,72.4,49.3,89.62
Panama,124.4,47.9,57.3,60.7,43.9,11.2,35.2,55.6,67.8,0.725
India,124,83.9,55.7,65.5,19.5,10.9,46.5,72.9,63.3,0.55
Jamshedpur,122.19,62.97,59,52.78,22.12,22.12,24.25,56.39,61.36,85.94
Raipur,121.63,71.8,65.57,54.91,19.7,6.58,31.57,87.17,61.82,86.9
China,121.4,80,76,68.7,30.7,28.5,38.7,77.3,79.2,0.75
North Macedonia,120.3,60.7,58.9,55.1,30.3,12.3,24.9,79.6,76.3,0.7
Armenia,119.7,38.8,77.9,59,39.6,19.4,29.3,62.3,63.4,0.75
Argentina,118,41.9,36.6,68,35.7,17.7,43.8,50.8,98.3,0.825
Brazil,117.9,43.2,35.5,59.1,25.6,15.2,40.4,52.9,97.4,0.7
Tunisia,117.3,35.3,54.9,57.2,25.5,12.2,33.4,70.1,93.2,0.65
Kochi,116.74,78.11,58.83,63.71,19.01,19.01,40.55,71.77,58.87,97.36
Russia,116.6,57.6,61.3,61.5,22.3,14.3,43.3,59,47.4,0.85
Ukraine,115,47.4,53,55.9,24.6,13.6,37.9,62.1,70.7,0.8
Vijayawada,114.03,51.43,65.67,63.76,19.48,13.38,38.78,72.37,54.22,82.59
Azerbaijan,113.5,42.4,68.2,48.3,29.5,15.6,40.6,72.7,91.4,0.71
Jabalpur,112.77,44.29,54.74,60.19,18.04,22.06,22.5,66.28,68.72,89.13
Kanpur,112.5,60.86,54.08,65.83,16.35,12.08,31.5,88.25,69.24,84.14
Madurai,112.44,54.44,57.31,85.06,21.42,22.52,51.33,64.43,63.8,90
Ranchi,112.14,52.94,50.82,44.95,10.07,15.58,38.62,62.31,77.75,87.68
Lucknow,111.32,65.33,54.48,62.88,18.74,12.57,41.06,78.08,59.46,84.72
Morocco,110.8,42.6,52.2,46.8,27.2,13.4,35.2,68.7,85.2,0.5
Agra,109.86,74.53,56.4,77.59,18.95,8.78,63.33,82.74,54.94,87.6
Meerut,109.66,73.97,31.63,71.53,17.11,5.18,45,82.26,59.62,76.34
Colombia,108.8,36.9,39.1,68.6,26,18.1,47,62.5,98.4,0.725
Chile,107.3,52.2,39.5,63.5,35.1,15.6,36,77.5,90.2,0.825
Kazakhstan,106.8,52.3,54.8,60.7,26.6,9.9,35.5,73.2,39.8,0.8
Thailand,106.2,47.2,62.7,77.5,33.7,25.2,38.4,75.7,69.4,0.65
Kolkata,105.2,68.1,53.5,60,19.5,9.4,59.4,78.1,60.9,87.14
Albania,104.3,43.7,55.3,48.2,39.9,15.3,36.7,77,86.4,0.7
Pakistan,104.2,30.9,56.3,59.3,17.8,14.3,38,73.3,71.9,0.4
Indonesia,102.4,34.7,54,60.9,24.6,14.9,42.8,68,63.8,0.6
Delhi,102.2,94.9,40.9,66.2,22.2,11,57.8,90.2,58.9,86.34
Kenya,101.7,35.9,44,62,28.2,18.5,50.6,69,99.8,0.55
Lebanon,100.1,36,53.2,63.7,38.8,15,38.7,89.4,94.7,0.75
Patna,97.3,56.13,49.1,55.93,19.58,17.38,27.5,89.34,61.71,83.37
Philippines,96.9,38.1,56.9,67.3,28.8,22.2,41.3,72.4,61.2,0.65
Vietnam,95.8,43.4,59.2,61.3,26.6,25.8,29.7,84.2,71.2,0.65
Mumbai,94.5,76.5,55.7,65.4,25.5,28.4,54.8,83.3,71.5,90
Ghaziabad,88.64,66.2,40.96,56.81,19.5,10.52,58.75,91.79,65.98,84.78
Peru,86,39.1,32.9,56.3,29.4,18.4,49.8,82.4,97.7,0.7
Iran,85.6,29.1,49.5,52.8,23.6,19.7,46.7,75.2,71,0.7
Egypt,85.3,21.4,52.7,47.3,19,18.2,48,82.7,92,0.6
Sri Lanka,81.1,18.5,57.9,71.4,33.5,34.2,54.5,57.9,59.1,0.75
Venezuela,79.7,16,19.3,38.7,35.9,15.1,32.8,75.1,99.9,0.75
Bangladesh,73.9,35.9,38.4,42.2,20.9,12.8,57.1,85.4,71.3,0.54
Nigeria,21.5,11.1,33.4,49.1,26.4,45.7,65.3,87.9,60.8,0.5
